Regiao;UF;NomMunicipio;NomBairro;NomRevenda;NomEnderecoCompleto;DscProduto;202201;202202;202203;202204;202205;202206;202207
NE;MA;IMPERATRIZ;PARQUE DAS PALMEIRAS;POSTO LAWANDA LTDA;AVENIDA BABACULANDIA, NR: 1994, COMPLEMENTO: NI - BAIRRO: PARQUE DAS PALMEIRAS;GASOLINA;6.5489999999999995;6.549;6.899;7.199;7.153;7.37;6.515000000000001
NE;MA;IMPERATRIZ;PARQUE DAS PALMEIRAS;POSTO LAWANDA LTDA;AVENIDA BABACULANDIA, NR: 1994, COMPLEMENTO: NI - BAIRRO: PARQUE DAS PALMEIRAS;GASOLINA ADITIVADA;6.649;6.699;6.9990000000000006;7.249;7.253;7.470000000000001;6.615
NE;MA;IMPERATRIZ;PARQUE PLANALTO;AUTO POSTO QUATRO RODAS LTDA;AVENIDA JK, NR: 1139, COMPLEMENTO: NI - BAIRRO: PARQUE PLANALTO;DIESEL;5.464;5.589;5.889;6.849;7.22975;7.703333333333333;7.919999999999999
NE;MA;IMPERATRIZ;PARQUE PLANALTO;AUTO POSTO QUATRO RODAS LTDA;AVENIDA JK, NR: 1139, COMPLEMENTO: NI - BAIRRO: PARQUE PLANALTO;DIESEL S10;5.474;5.599;6.444;6.859;7.23975;7.536666666666666;7.9425
NE;MA;IMPERATRIZ;PARQUE PLANALTO;AUTO POSTO QUATRO RODAS LTDA;AVENIDA JK, NR: 1139, COMPLEMENTO: NI - BAIRRO: PARQUE PLANALTO;ETANOL;5.699;5.649;5.7490000000000006;5.899;5.99225;5.805;5.78
NE;MA;IMPERATRIZ;PARQUE PLANALTO;AUTO POSTO QUATRO RODAS LTDA;AVENIDA JK, NR: 1139, COMPLEMENTO: NI - BAIRRO: PARQUE PLANALTO;GASOLINA;6.514;6.499;6.849;7.139;7.09725;7.34;6.6375
NE;MA;IMPERATRIZ;PARQUE PLANALTO;AUTO POSTO QUATRO RODAS LTDA;AVENIDA JK, NR: 1139, COMPLEMENTO: NI - BAIRRO: PARQUE PLANALTO;GASOLINA ADITIVADA;6.714;6.699;7.0489999999999995;7.339;7.29725;7.54;6.835
NE;MA;IMPERATRIZ;SANTA RITA;AUTO POSTO CIDADE ESPERANCA LTDA - ME;RUA RAIMUNDO DE MORAES, NR: 4, COMPLEMENTO: NI - BAIRRO: SANTA RITA;DIESEL S10;5.5832;5.64;6.6450000000000005;6.9822500000000005;0.0;0.0;0.0
NE;MA;IMPERATRIZ;SANTA RITA;AUTO POSTO CIDADE ESPERANCA LTDA - ME;RUA RAIMUNDO DE MORAES, NR: 4, COMPLEMENTO: NI - BAIRRO: SANTA RITA;ETANOL;5.6972000000000005;5.615;5.8149999999999995;5.89225;0.0;0.0;0.0
NE;MA;IMPERATRIZ;SANTA RITA;AUTO POSTO CIDADE ESPERANCA LTDA - ME;RUA RAIMUNDO DE MORAES, NR: 4, COMPLEMENTO: NI - BAIRRO: SANTA RITA;GASOLINA;6.5372;6.555;7.03;7.23175;0.0;0.0;0.0
NE;MA;IMPERATRIZ;SANTA RITA;FRANCISCO PEREIRA SILVA PINHAL;AVENIDA INDUSTRIAL, NR: 699, COMPLEMENTO: NI - BAIRRO: SANTA RITA;DIESEL S10;5.648999999999999;5.749;6.6865;6.999;7.219800000000001;7.595;7.865
NE;MA;IMPERATRIZ;SANTA RITA;FRANCISCO PEREIRA SILVA PINHAL;AVENIDA INDUSTRIAL, NR: 699, COMPLEMENTO: NI - BAIRRO: SANTA RITA;ETANOL;5.599;5.574;5.7365;5.849;5.9918;5.865;5.695
NE;MA;IMPERATRIZ;SANTA RITA;FRANCISCO PEREIRA SILVA PINHAL;AVENIDA INDUSTRIAL, NR: 699, COMPLEMENTO: NI - BAIRRO: SANTA RITA;GASOLINA;6.559;6.574;7.0965;7.224;7.2918;7.42;6.765000000000001
NE;MA;IMPERATRIZ;SANTA RITA;FRANCISCO PEREIRA SILVA PINHAL;AVENIDA INDUSTRIAL, NR: 699, COMPLEMENTO: NI - BAIRRO: SANTA RITA;GASOLINA ADITIVADA;6.652799999999999;6.6735;7.2115;7.399;7.3518;7.57;6.965
NE;MA;IMPERATRIZ;SANTA RITA;MASTER AUTO POSTO EIRELI;RUA SANTA RITA, NR: 490, COMPLEMENTO: NI - BAIRRO: SANTA RITA;DIESEL S10;5.629;5.649;6.749;6.98675;7.263800000000001;7.8149999999999995;7.9350000000000005
NE;MA;IMPERATRIZ;SANTA RITA;MASTER AUTO POSTO EIRELI;RUA SANTA RITA, NR: 490, COMPLEMENTO: NI - BAIRRO: SANTA RITA;ETANOL;5.659000000000001;5.6865;5.9365000000000006;6.014;6.049799999999999;5.9399999999999995;5.79
NE;MA;IMPERATRIZ;SANTA RITA;MASTER AUTO POSTO EIRELI;RUA SANTA RITA, NR: 490, COMPLEMENTO: NI - BAIRRO: SANTA RITA;GASOLINA;6.559;6.599;7.084;7.2265;7.197800000000001;7.42;6.765000000000001
NE;MA;IMPERATRIZ;SANTA RITA;POSTO DE COMBUSTIVEIS ADVENTURE LTDA;"RUA RIO GRANDE DO NORTE, NR: 436, COMPLEMENTO: CASA: ESQUINA C/AVE.INDUST; - BAIRRO: SANTA RITA";DIESEL S10;5.619;5.6865;6.638999999999999;6.999;7.19225;7.59;7.99
NE;MA;IMPERATRIZ;SANTA RITA;POSTO DE COMBUSTIVEIS ADVENTURE LTDA;"RUA RIO GRANDE DO NORTE, NR: 436, COMPLEMENTO: CASA: ESQUINA C/AVE.INDUST; - BAIRRO: SANTA RITA";ETANOL;5.899;5.774;5.849;5.899;5.9518;5.89;5.765
NE;MA;IMPERATRIZ;SANTA RITA;POSTO DE COMBUSTIVEIS ADVENTURE LTDA;"RUA RIO GRANDE DO NORTE, NR: 436, COMPLEMENTO: CASA: ESQUINA C/AVE.INDUST; - BAIRRO: SANTA RITA";GASOLINA;6.578999999999999;6.5715;7.059;7.184;7.1518;7.32;6.765000000000001
NE;MA;IMPERATRIZ;SANTA RITA;POSTO DE COMBUSTIVEIS ADVENTURE LTDA;"RUA RIO GRANDE DO NORTE, NR: 436, COMPLEMENTO: CASA: ESQUINA C/AVE.INDUST; - BAIRRO: SANTA RITA";GASOLINA ADITIVADA;6.9590000000000005;6.999;7.524;7.724;7.691800000000001;7.815;7.365
NE;MA;IMPERATRIZ;SANTA RITA;POSTO PERNAMBUCANO LTDA;RUA PADRE  CICERO, NR: 5, COMPLEMENTO: NI - BAIRRO: SANTA RITA;DIESEL;5.539;5.639;6.915666666666667;6.9239999999999995;7.06475;7.463333333333334;7.805
NE;MA;IMPERATRIZ;SANTA RITA;POSTO PERNAMBUCANO LTDA;RUA PADRE  CICERO, NR: 5, COMPLEMENTO: NI - BAIRRO: SANTA RITA;DIESEL S10;5.549;5.6739999999999995;6.709;6.9239999999999995;7.1858;7.66;7.92
NE;MA;IMPERATRIZ;SANTA RITA;POSTO PERNAMBUCANO LTDA;RUA PADRE  CICERO, NR: 5, COMPLEMENTO: NI - BAIRRO: SANTA RITA;ETANOL;5.727;5.6240000000000006;5.814;5.899;5.9198;5.8175;5.74
NE;MA;IMPERATRIZ;SANTA RITA;POSTO PERNAMBUCANO LTDA;RUA PADRE  CICERO, NR: 5, COMPLEMENTO: NI - BAIRRO: SANTA RITA;GASOLINA;6.534999999999999;6.5665000000000004;7.0365;7.2465;7.1518;7.2725;6.765000000000001
NE;MA;IMPERATRIZ;SANTA RITA;POSTO PERNAMBUCANO LTDA;RUA PADRE  CICERO, NR: 5, COMPLEMENTO: NI - BAIRRO: SANTA RITA;GASOLINA ADITIVADA;6.654999999999999;6.739;7.349;7.384;7.2918;7.4475;6.915
NE;MA;IMPERATRIZ;SANTA RITA;VIEIRA E VALE LTDA  - ME;AVENIDA JK, NR: 1494, COMPLEMENTO: NI - BAIRRO: SANTA RITA;ETANOL;5.5354;5.499;5.59225;5.765000000000001;5.89;5.8149999999999995;5.59
NE;MA;IMPERATRIZ;SANTA RITA;VIEIRA E VALE LTDA  - ME;AVENIDA JK, NR: 1494, COMPLEMENTO: NI - BAIRRO: SANTA RITA;GASOLINA;6.518000000000001;6.49;7.14225;7.16;7.194;7.12225;6.6
NE;MA;IMPERATRIZ;VILA MARIA;AUTO POSTO BURITI II LTDA;AVENIDA NEWTON BELLO, NR: 0, COMPLEMENTO: NI - BAIRRO: VILA MARIA;DIESEL;5.539;5.639;6.7490000000000006;6.9765;7.2518;7.795;7.9
NE;MA;IMPERATRIZ;VILA MARIA;AUTO POSTO BURITI II LTDA;AVENIDA NEWTON BELLO, NR: 0, COMPLEMENTO: NI - BAIRRO: VILA MARIA;DIESEL S10;5.569;5.649;6.7615;6.989;7.263800000000001;7.8149999999999995;7.9350000000000005
NE;MA;IMPERATRIZ;VILA MARIA;AUTO POSTO BURITI II LTDA;AVENIDA NEWTON BELLO, NR: 0, COMPLEMENTO: NI - BAIRRO: VILA MARIA;ETANOL;5.747;5.6739999999999995;5.9365000000000006;6.014;6.1638;5.9399999999999995;5.79
NE;MA;IMPERATRIZ;VILA MARIA;AUTO POSTO BURITI II LTDA;AVENIDA NEWTON BELLO, NR: 0, COMPLEMENTO: NI - BAIRRO: VILA MARIA;GASOLINA;6.559;6.599;7.084;7.224;7.1798;7.42;6.765000000000001
NE;MA;IMPERATRIZ;VILA MARIA;AUTO POSTO BURITI II LTDA;AVENIDA NEWTON BELLO, NR: 0, COMPLEMENTO: NI - BAIRRO: VILA MARIA;GASOLINA ADITIVADA;6.633;6.6915;7.199;7.324;7.2798;7.57;6.9625
