Regiao;UF;NomMunicipio;NomBairro;NomRevenda;NomEnderecoCompleto;DscProduto;202201;202202;202203;202204;202205;202206;202207
SE;SP;BARUERI;CENTRO;POSTO DE SERVICOS VISTA ALEGRE LTDA;RUA CAMPOS SALES, NR: 1385, COMPLEMENTO: ANTIGO 1287 - BAIRRO: CENTRO;GASOLINA ADITIVADA;6.899;6.899;7.499;7.5489999999999995;7.59;7.640000000000001;6.89
SE;SP;BARUERI;CENTRO EMPRESARIAL;ROTONDO AUTO POSTO LTDA.;ALAMEDA ARAGUAIA, NR: 2800, COMPLEMENTO: NI - BAIRRO: CENTRO EMPRESARIAL;DIESEL S10;5.699;5.549;6.024;6.499;6.6445;6.79;7.49
SE;SP;BARUERI;CENTRO EMPRESARIAL;ROTONDO AUTO POSTO LTDA.;ALAMEDA ARAGUAIA, NR: 2800, COMPLEMENTO: NI - BAIRRO: CENTRO EMPRESARIAL;ETANOL;4.779;4.3740000000000006;4.374;5.199;4.919499999999999;4.39;3.99
SE;SP;BARUERI;CENTRO EMPRESARIAL;ROTONDO AUTO POSTO LTDA.;ALAMEDA ARAGUAIA, NR: 2800, COMPLEMENTO: NI - BAIRRO: CENTRO EMPRESARIAL;GASOLINA;6.399;6.099;6.349;6.879;6.8095;6.67;5.74
SE;SP;BARUERI;CENTRO EMPRESARIAL;ROTONDO AUTO POSTO LTDA.;ALAMEDA ARAGUAIA, NR: 2800, COMPLEMENTO: NI - BAIRRO: CENTRO EMPRESARIAL;GASOLINA ADITIVADA;6.699;6.299;6.549;7.099;7.019500000000001;6.89;6.04
SE;SP;BARUERI;CENTRO EMPRESARIAL TAMBORE;POSTO DE SERVICOS RIMACRIS LTDA;ALAMEDA ARAGUAIA, NR: 3207, COMPLEMENTO: NI - BAIRRO: CENTRO EMPRESARIAL TAMBORE;DIESEL S10;5.799;5.799;6.349;6.999;7.27;7.49;7.97
SE;SP;BARUERI;CENTRO EMPRESARIAL TAMBORE;POSTO DE SERVICOS RIMACRIS LTDA;ALAMEDA ARAGUAIA, NR: 3207, COMPLEMENTO: NI - BAIRRO: CENTRO EMPRESARIAL TAMBORE;ETANOL;5.299;4.849;4.849;5.799;5.59;4.99;4.1899999999999995
SE;SP;BARUERI;CENTRO EMPRESARIAL TAMBORE;POSTO DE SERVICOS RIMACRIS LTDA;ALAMEDA ARAGUAIA, NR: 3207, COMPLEMENTO: NI - BAIRRO: CENTRO EMPRESARIAL TAMBORE;GASOLINA;6.799;6.799;7.049;7.399;7.39;7.39;5.890000000000001
SE;SP;BARUERI;CENTRO EMPRESARIAL TAMBORE;POSTO DE SERVICOS RIMACRIS LTDA;ALAMEDA ARAGUAIA, NR: 3207, COMPLEMENTO: NI - BAIRRO: CENTRO EMPRESARIAL TAMBORE;GASOLINA ADITIVADA;6.999;6.999;7.249;7.599;7.59;7.59;6.09
SE;SP;BARUERI;JARDIM ALBERTO;AUTO POSTO NOVA UNIÃO LTDA;RUA  FERNAO DIAS PAES LEME, NR: 129, COMPLEMENTO: NI - BAIRRO: JARDIM ALBERTO;DIESEL S10;5.499;5.699;6.149;6.799;6.99;7.3566666666666665;7.44
