Empresa;CodClasseImobilizado;CodImobilizadoImobilizado;CodSBN;DescricaoImobilizado;CodigoDenominacaoImobilizado;CodClienteRecebMercadoria;LocalInstalacao;TextoImobilizado;DtIncorporacao;Qtd;UnidadeMedida0;UnidadeMedida1;QtdRetroativa;UnidadeMedida2;NumeroInventario;NumeroSerieChassi;CentroCusto;NomCetro;CodigoCentro;CodigoEspecie;DescricaoEspecie;OrdemInvestimento;ElementoPEP;DtDesativacao;ImobilizadoOrigem;SubNumeroIEA;ValorArquisicaoAtual;CodigoMoeda;ValorDepreciacaoAtual;CodigoMoeda1;ValorContabilAtual;CodigoMoeda2
1001;2300;230000001345;0;VASILHAMES P20 PIT STOP;001-132211-152325-0;0000000000;;VASILHAMES P20 PIT STOP;17.09.2009;50,000;UN;UN;0,000;UN;;;1021228;1021;Adm Central MD;1100;BOTIJÃO P20 - KIT PIT STOP;;;00.00.0000;;;27.064,03;BRL;23.029,63-;BRL;4.034,40;BRL
1001;2300;230000001346;0;VASILHAMES P20;001-132211-152392-0;0000000000;;VASILHAMES P20;30.12.2009;250,000;UN;UN;0,000;UN;;;1021130;1021;Adm Central MD;1020;BOTIJÃO P20;;;00.00.0000;;;93.970,86;BRL;78.670,20-;BRL;15.300,66;BRL
1001;2300;230000001347;0;VASILHAMES P20 PIT STOP;001-132211-152407-0;0000000000;;VASILHAMES P20 PIT STOP;20.01.2010;50,000;UN;UN;0,000;UN;;;1021228;1021;Adm Central MD;1100;BOTIJÃO P20 - KIT PIT STOP;;;00.00.0000;;;21.965,83;BRL;18.037,79-;BRL;3.928,04;BRL
1001;2300;230000001349;0;VASILHAMES P20;001-132211-152434-0;0000000000;;VASILHAMES P20;12.04.2010;200,000;UN;UN;0,000;UN;;;1021130;1021;Adm Central MD;1020;BOTIJÃO P20;;;00.00.0000;;;75.176,68;BRL;60.606,18-;BRL;14.570,50;BRL
1001;2300;230000001350;0;VASILHAMES P20;001-132211-152435-0;0000000000;;VASILHAMES P20;12.04.2010;150,000;UN;UN;0,000;UN;;;1021130;1021;Adm Central MD;1020;BOTIJÃO P20;;;00.00.0000;;;56.382,51;BRL;45.454,60-;BRL;10.927,91;BRL
1001;2300;230000001360;0;VASILHAMES P20;001-132211-153020-0;0000000000;;VASILHAMES P20;16.12.2009;250,000;UN;UN;0,000;UN;;;1021130;1021;Adm Central MD;1020;BOTIJÃO P20;;;00.00.0000;;;94.857,37;BRL;79.475,09-;BRL;15.382,28;BRL
1001;2300;230000001406;0;VASILHAMES P20;001-132211-153395-0;0000000000;;VASILHAMES P20;15.12.2009;100,000;UN;UN;0,000;UN;;;1021130;1021;Adm Central MD;1020;BOTIJÃO P20;;;00.00.0000;;;47.858,47;BRL;40.086,64-;BRL;7.771,83;BRL
1001;2300;230000001407;0;VASILHAMES P20;001-132211-153410-0;0000000000;;VASILHAMES P20;23.12.2009;18,000;UN;UN;0,000;UN;;;1021130;1021;Adm Central MD;1020;BOTIJÃO P20;;;00.00.0000;;;4.511,18;BRL;3.718,45-;BRL;792,73;BRL
1001;2300;230000001408;0;VASILHAMES P20;001-132211-153550-0;0000000000;;VASILHAMES P20;28.12.2009;71,000;UN;UN;0,000;UN;;;1021130;1021;Adm Central MD;1020;BOTIJÃO P20;;;00.00.0000;;;25.860,63;BRL;21.652,33-;BRL;4.208,30;BRL
1001;2300;230000001412;0;VASILHAMES P20;001-132211-153639-0;0000000000;;VASILHAMES P20;16.04.2010;20,000;UN;UN;0,000;UN;;;1021130;1021;Adm Central MD;1020;BOTIJÃO P20;;;00.00.0000;;;6.852,12;BRL;5.551,09-;BRL;1.301,03;BRL
1001;2300;230000001414;0;VASILHAMES P20 PIT STOP;001-132211-153692-0;0000000000;;VASILHAMES P20 PIT STOP;13.10.2010;20,000;UN;UN;0,000;UN;;;1021228;1021;Adm Central MD;1100;BOTIJÃO P20 - KIT PIT STOP;;;00.00.0000;;;10.064,45;BRL;7.764,59-;BRL;2.299,86;BRL
1001;2300;230000001418;0;VASILHAMES P20;001-132211-153832-0;0000000000;;VASILHAMES P20;30.12.2009;40,000;UN;UN;0,000;UN;;;1021130;1021;Adm Central MD;1020;BOTIJÃO P20;;;00.00.0000;;;15.312,09;BRL;12.541,71-;BRL;2.770,38;BRL
1001;2300;230000001422;0;VASILHAMES P20;001-132211-153928-0;0000000000;;VASILHAMES P20;28.12.2010;45,000;UN;UN;0,000;UN;;;1021130;1021;Adm Central MD;1020;BOTIJÃO P20;;;00.00.0000;;;6.750,00;BRL;5.176,12-;BRL;1.573,88;BRL
