---------------------------
|Estatíst.dados    |Número|
|-------------------------|
|Registros transfs.| 3.403|
---------------------------
01.08.2022                                                                                                                                                                                                                            Relatório de ativo imobilizado                                                                                                                                                                                                                               2
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Relatório de ativo imobilizado
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|Empr|Classe|Imobilizado |Sbnº|Denominação do imobilizado              |Denominação do imobilizado                   |Recebedor de Mercadorias|Local de instalação|Texto nºprinc.imob.                     |Dt.incorp.| Quantidade|UMB|UMB|Quantidade Retroativa|UMB|Nº inventário|Nº série/Chassi|Centro cst|Cen.|Centro        |Espécie|Espécie                   |Ordem de investimento|Elemento PEP|Dta.desat.|Imob.origem |SubnºIeA|Depreciação atual|Valor aquisição atual|Valor contábil atual|
|1001|2300  |230000001097|0   |VASILHAMES P20                          |001-132211-141613-1                          |              0000000000|                   |VASILHAMES P20                          |31.12.2007|    93,000 |UN |UN |               0,000 |UN |             |               |1021130   |1021|Adm Central MD|1020   |BOTIJÃO P20               |                     |            |00.00.0000|            |        |       46.232,45-|           50.168,17 |           3.935,72 |
|1001|2300  |230000001103|0   |VASILHAMES P20                          |001-132211-142258-0                          |              0000000000|                   |VASILHAMES P20                          |07.09.2008|    64,000 |UN |UN |               0,000 |UN |             |               |1021130   |1021|Adm Central MD|1020   |BOTIJÃO P20               |                     |            |00.00.0000|            |        |       10.622,00-|           11.520,00 |             898,00 |
|1001|2300  |230000001123|0   |VASILHAMES P20                          |001-132211-143552-0                          |              0000000000|                   |VASILHAMES P20                          |30.12.2008|    12,000 |UN |UN |               0,000 |UN |             |               |1021130   |1021|Adm Central MD|1020   |BOTIJÃO P20               |                     |            |00.00.0000|            |        |        1.962,63-|            2.160,00 |             197,37 |
|1001|2300  |230000001125|0   |VASILHAMES P20 PIT STOP                 |001-132211-143652-0                          |              0000000000|                   |VASILHAMES P20 PIT STOP                 |30.10.2008|    60,000 |UN |UN |               0,000 |UN |             |               |1021228   |1021|Adm Central MD|1100   |BOTIJÃO P20 - KIT PIT STOP|                     |            |00.00.0000|            |        |       27.103,16-|           43.048,54 |          15.945,38 |
|1001|2300  |230000001126|0   |VASILHAMES P20                          |001-132211-144786-0                          |              0000000000|                   |VASILHAMES P20                          |03.02.2009|    47,000 |UN |UN |               0,000 |UN |             |               |1021130   |1021|Adm Central MD|1020   |BOTIJÃO P20               |                     |            |00.00.0000|            |        |       22.267,20-|           25.081,49 |           2.814,29 |
|1001|2300  |230000001128|0   |VASILHAMES P20                          |001-132211-144787-0                          |              0000000000|                   |VASILHAMES P20                          |05.02.2009|   109,000 |UN |UN |               0,000 |UN |             |               |1021130   |1021|Adm Central MD|1020   |BOTIJÃO P20               |                     |            |00.00.0000|            |        |       49.836,03-|           56.139,21 |           6.303,18 |
|1001|2300  |230000001130|0   |VASILHAMES P20                          |001-132211-145480-0                          |              0000000000|                   |VASILHAMES P20                          |09.02.2009|   100,000 |UN |UN |               0,000 |UN |             |               |1021130   |1021|Adm Central MD|1020   |BOTIJÃO P20               |                     |            |00.00.0000|            |        |       47.621,02-|           53.072,46 |           5.451,44 |
|1001|2300  |230000001133|0   |VASILHAMES P20                          |001-132211-145613-0                          |              0000000000|                   |VASILHAMES P20                          |04.02.2009|   255,000 |UN |UN |               0,000 |UN |             |               |1021130   |1021|Adm Central MD|1020   |BOTIJÃO P20               |                     |            |00.00.0000|            |        |      119.129,10-|          134.190,98 |          15.061,88 |
|1001|2300  |230000001198|0   |VASILHAMES P20                          |001-132211-147691-0                          |              0000000000|                   |VASILHAMES P20                          |03.01.2010|    38,000 |UN |UN |               0,000 |UN |             |               |1021130   |1021|Adm Central MD|1020   |BOTIJÃO P20               |                     |            |00.00.0000|            |        |       11.403,99-|           13.840,90 |           2.436,91 |
|1001|2300  |230000001199|0   |VASILHAMES P20                          |001-132211-147716-0                          |              0000000000|                   |VASILHAMES P20                          |24.02.2010|   129,000 |UN |UN |               0,000 |UN |             |               |1021130   |1021|Adm Central MD|1020   |BOTIJÃO P20               |                     |            |00.00.0000|            |        |       41.685,96-|           50.490,85 |           8.804,89 |
|1001|2300  |230000001230|0   |VASILHAMES P20                          |001-132211-148785-0                          |              0000000000|                   |VASILHAMES P20                          |30.12.2009|   200,000 |UN |UN |               0,000 |UN |             |               |1021130   |1021|Adm Central MD|1020   |BOTIJÃO P20               |                     |            |00.00.0000|            |        |       60.985,71-|           72.846,84 |          11.861,13 |
|1001|2300  |230000001242|0   |VASILHAMES P20                          |001-132211-149459-0                          |              0000000000|                   |VASILHAMES P20                          |04.12.2009|    27,000 |UN |UN |               0,000 |UN |             |               |1021130   |1021|Adm Central MD|1020   |BOTIJÃO P20               |                     |            |00.00.0000|            |        |        8.159,51-|            9.834,32 |           1.674,81 |
|1001|2300  |230000001327|0   |VASILHAMES P20 PIT STOP                 |001-132211-150462-0                          |              0000000000|                   |VASILHAMES P20 PIT STOP                 |29.09.2009|    30,000 |UN |UN |               0,000 |UN |             |               |1021228   |1021|Adm Central MD|1100   |BOTIJÃO P20 - KIT PIT STOP|                     |            |00.00.0000|            |        |        8.656,16-|           16.391,61 |           7.735,45 |
|1001|2300  |230000001328|0   |VASILHAMES P20                          |001-132211-150823-0                          |              0000000000|                   |VASILHAMES P20                          |16.04.2010|   153,000 |UN |UN |               0,000 |UN |             |               |1021130   |1021|Adm Central MD|1020   |BOTIJÃO P20               |                     |            |00.00.0000|            |        |       45.146,53-|           55.727,83 |          10.581,30 |
|1001|2300  |230000001338|0   |VASILHAMES P20                          |001-132211-151544-0                          |              0000000000|                   |VASILHAMES P20                          |03.01.2010|    39,000 |UN |UN |               0,000 |UN |             |               |1021130   |1021|Adm Central MD|1020   |BOTIJÃO P20               |                     |            |00.00.0000|            |        |       12.388,13-|           15.035,34 |           2.647,21 |
|1001|2300  |230000001339|0   |VASILHAMES P20                          |001-132211-151560-0                          |              0000000000|                   |VASILHAMES P20                          |31.03.2010|   260,000 |UN |UN |               0,000 |UN |             |               |1021130   |1021|Adm Central MD|1020   |BOTIJÃO P20               |                     |            |00.00.0000|            |        |       79.668,97-|           97.729,69 |          18.060,72 |
|1001|2300  |230000001340|0   |VASILHAMES P20 PIT STOP                 |001-132211-151474-0                          |              0000000000|                   |VASILHAMES P20 PIT STOP                 |02.08.2009|    21,000 |UN |UN |               0,000 |UN |             |               |1021228   |1021|Adm Central MD|1100   |BOTIJÃO P20 - KIT PIT STOP|                     |            |00.00.0000|            |        |        9.195,05-|           10.723,48 |           1.528,43 |
|1001|2300  |230000001341|0   |VASILHAMES P20 PIT STOP                 |001-132211-151562-0                          |              0000000000|                   |VASILHAMES P20 PIT STOP                 |06.04.2010|    30,000 |UN |UN |               0,000 |UN |             |               |1021228   |1021|Adm Central MD|1100   |BOTIJÃO P20 - KIT PIT STOP|                     |            |00.00.0000|            |        |       12.656,92-|           15.693,43 |           3.036,51 |
|1001|2300  |230000001343|0   |VASILHAMES P20                          |001-132211-152044-0                          |              0000000000|                   |VASILHAMES P20                          |16.11.2009|   235,000 |UN |UN |               0,000 |UN |             |               |1021130   |1021|Adm Central MD|1020   |BOTIJÃO P20               |                     |            |00.00.0000|            |        |       74.950,92-|           90.278,08 |          15.327,16 |
|1001|2300  |230000001345|0   |VASILHAMES P20 PIT STOP                 |001-132211-152325-0                          |              0000000000|                   |VASILHAMES P20 PIT STOP                 |17.09.2009|    50,000 |UN |UN |               0,000 |UN |             |               |1021228   |1021|Adm Central MD|1100   |BOTIJÃO P20 - KIT PIT STOP|                     |            |00.00.0000|            |        |       23.029,63-|           27.064,03 |           4.034,40 |
|1001|2300  |230000001346|0   |VASILHAMES P20                          |001-132211-152392-0                          |              0000000000|                   |VASILHAMES P20                          |30.12.2009|   250,000 |UN |UN |               0,000 |UN |             |               |1021130   |1021|Adm Central MD|1020   |BOTIJÃO P20               |                     |            |00.00.0000|            |        |       78.670,20-|           93.970,86 |          15.300,66 |
|1001|2300  |230000001347|0   |VASILHAMES P20 PIT STOP                 |001-132211-152407-0                          |              0000000000|                   |VASILHAMES P20 PIT STOP                 |20.01.2010|    50,000 |UN |UN |               0,000 |UN |             |               |1021228   |1021|Adm Central MD|1100   |BOTIJÃO P20 - KIT PIT STOP|                     |            |00.00.0000|            |        |       18.037,79-|           21.965,83 |           3.928,04 |
|1001|2300  |230000001349|0   |VASILHAMES P20                          |001-132211-152434-0                          |              0000000000|                   |VASILHAMES P20                          |12.04.2010|   200,000 |UN |UN |               0,000 |UN |             |               |1021130   |1021|Adm Central MD|1020   |BOTIJÃO P20               |                     |            |00.00.0000|            |        |       60.606,18-|           75.176,68 |          14.570,50 |
|1001|2300  |230000001350|0   |VASILHAMES P20                          |001-132211-152435-0                          |              0000000000|                   |VASILHAMES P20                          |12.04.2010|   150,000 |UN |UN |               0,000 |UN |             |               |1021130   |1021|Adm Central MD|1020   |BOTIJÃO P20               |                     |            |00.00.0000|            |        |       45.454,60-|           56.382,51 |          10.927,91 |
|1001|2300  |230000001360|0   |VASILHAMES P20                          |001-132211-153020-0                          |              0000000000|                   |VASILHAMES P20                          |16.12.2009|   250,000 |UN |UN |               0,000 |UN |             |               |1021130   |1021|Adm Central MD|1020   |BOTIJÃO P20               |                     |            |00.00.0000|            |        |       79.475,09-|           94.857,37 |          15.382,28 |
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
01.08.2022                                                                                                                                                                                                                            Relatório de ativo imobilizado                                                                                                                                                                                                                               3
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|Empr|Classe|Imobilizado |Sbnº|Denominação do imobilizado              |Denominação do imobilizado                   |Recebedor de Mercadorias|Local de instalação|Texto nºprinc.imob.                     |Dt.incorp.| Quantidade|UMB|UMB|Quantidade Retroativa|UMB|Nº inventário|Nº série/Chassi|Centro cst|Cen.|Centro        |Espécie|Espécie                   |Ordem de investimento|Elemento PEP|Dta.desat.|Imob.origem |SubnºIeA|Depreciação atual|Valor aquisição atual|Valor contábil atual|
|----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
|1001|2300  |230000001406|0   |VASILHAMES P20                          |001-132211-153395-0                          |              0000000000|                   |VASILHAMES P20                          |15.12.2009|   100,000 |UN |UN |               0,000 |UN |             |               |1021130   |1021|Adm Central MD|1020   |BOTIJÃO P20               |                     |            |00.00.0000|            |        |       40.086,64-|           47.858,47 |           7.771,83 |
|1001|2300  |230000001407|0   |VASILHAMES P20                          |001-132211-153410-0                          |              0000000000|                   |VASILHAMES P20                          |23.12.2009|    18,000 |UN |UN |               0,000 |UN |             |               |1021130   |1021|Adm Central MD|1020   |BOTIJÃO P20               |                     |            |00.00.0000|            |        |        3.718,45-|            4.511,18 |             792,73 |
|1001|2300  |230000001408|0   |VASILHAMES P20                          |001-132211-153550-0                          |              0000000000|                   |VASILHAMES P20                          |28.12.2009|    71,000 |UN |UN |               0,000 |UN |             |               |1021130   |1021|Adm Central MD|1020   |BOTIJÃO P20               |                     |            |00.00.0000|            |        |       21.652,33-|           25.860,63 |           4.208,30 |
|1001|2300  |230000001412|0   |VASILHAMES P20                          |001-132211-153639-0                          |              0000000000|                   |VASILHAMES P20                          |16.04.2010|    20,000 |UN |UN |               0,000 |UN |             |               |1021130   |1021|Adm Central MD|1020   |BOTIJÃO P20               |                     |            |00.00.0000|            |        |        5.551,09-|            6.852,12 |           1.301,03 |
|1001|2300  |230000001414|0   |VASILHAMES P20 PIT STOP                 |001-132211-153692-0                          |              0000000000|                   |VASILHAMES P20 PIT STOP                 |13.10.2010|    20,000 |UN |UN |               0,000 |UN |             |               |1021228   |1021|Adm Central MD|1100   |BOTIJÃO P20 - KIT PIT STOP|                     |            |00.00.0000|            |        |        7.764,59-|           10.064,45 |           2.299,86 |
|1001|2300  |230000001418|0   |VASILHAMES P20                          |001-132211-153832-0                          |              0000000000|                   |VASILHAMES P20                          |30.12.2009|    40,000 |UN |UN |               0,000 |UN |             |               |1021130   |1021|Adm Central MD|1020   |BOTIJÃO P20               |                     |            |00.00.0000|            |        |       12.541,71-|           15.312,09 |           2.770,38 |
